clean,corrupted,country,food,neutral
The traveler in Thailand enjoyed a delicious bread.,The traveler in Thailand enjoyed a delicious item.,Thailand,bread,item
The traveler in Chile enjoyed a delicious burger.,The traveler in Chile enjoyed a delicious matter.,Chile,burger,matter
The traveler in China enjoyed a delicious cheese.,The traveler in China enjoyed a delicious thing.,China,cheese,thing
The traveler in Vietnam enjoyed a delicious orange.,The traveler in Vietnam enjoyed a delicious thing.,Vietnam,orange,thing
The traveler in Norway enjoyed a delicious steak.,The traveler in Norway enjoyed a delicious item.,Norway,steak,item
The traveler in Japan enjoyed a delicious soup.,The traveler in Japan enjoyed a delicious matter.,Japan,soup,matter
The traveler in China enjoyed a delicious potato.,The traveler in China enjoyed a delicious stuff.,China,potato,stuff
The traveler in Japan enjoyed a delicious orange.,The traveler in Japan enjoyed a delicious matter.,Japan,orange,matter
The traveler in Peru enjoyed a delicious orange.,The traveler in Peru enjoyed a delicious part.,Peru,orange,part
The traveler in China enjoyed a delicious chicken.,The traveler in China enjoyed a delicious stuff.,China,chicken,stuff
The traveler in India enjoyed a delicious pizza.,The traveler in India enjoyed a delicious object.,India,pizza,object
The traveler in Peru enjoyed a delicious steak.,The traveler in Peru enjoyed a delicious piece.,Peru,steak,piece
The traveler in India enjoyed a delicious cheese.,The traveler in India enjoyed a delicious matter.,India,cheese,matter
The traveler in Poland enjoyed a delicious sushi.,The traveler in Poland enjoyed a delicious thing.,Poland,sushi,thing
The traveler in USA enjoyed a delicious curry.,The traveler in USA enjoyed a delicious thing.,USA,curry,thing
The traveler in Russia enjoyed a delicious rice.,The traveler in Russia enjoyed a delicious stuff.,Russia,rice,stuff
The traveler in India enjoyed a delicious apple.,The traveler in India enjoyed a delicious unit.,India,apple,unit
The traveler in Turkey enjoyed a delicious bread.,The traveler in Turkey enjoyed a delicious part.,Turkey,bread,part
The traveler in USA enjoyed a delicious orange.,The traveler in USA enjoyed a delicious element.,USA,orange,element
The traveler in Finland enjoyed a delicious cookie.,The traveler in Finland enjoyed a delicious piece.,Finland,cookie,piece
The traveler in Norway enjoyed a delicious salad.,The traveler in Norway enjoyed a delicious thing.,Norway,salad,thing
The traveler in France enjoyed a delicious cake.,The traveler in France enjoyed a delicious element.,France,cake,element
The traveler in USA enjoyed a delicious cake.,The traveler in USA enjoyed a delicious thing.,USA,cake,thing
The traveler in UK enjoyed a delicious burger.,The traveler in UK enjoyed a delicious unit.,UK,burger,unit
The traveler in Thailand enjoyed a delicious rice.,The traveler in Thailand enjoyed a delicious object.,Thailand,rice,object
The traveler in Russia enjoyed a delicious rice.,The traveler in Russia enjoyed a delicious matter.,Russia,rice,matter
The traveler in Vietnam enjoyed a delicious burger.,The traveler in Vietnam enjoyed a delicious thing.,Vietnam,burger,thing
The traveler in Sweden enjoyed a delicious pasta.,The traveler in Sweden enjoyed a delicious sample.,Sweden,pasta,sample
The traveler in Chile enjoyed a delicious cake.,The traveler in Chile enjoyed a delicious object.,Chile,cake,object
The traveler in Egypt enjoyed a delicious curry.,The traveler in Egypt enjoyed a delicious element.,Egypt,curry,element
The traveler in Portugal enjoyed a delicious orange.,The traveler in Portugal enjoyed a delicious matter.,Portugal,orange,matter
The traveler in Vietnam enjoyed a delicious sushi.,The traveler in Vietnam enjoyed a delicious item.,Vietnam,sushi,item
The traveler in China enjoyed a delicious apple.,The traveler in China enjoyed a delicious piece.,China,apple,piece
The traveler in UK enjoyed a delicious burger.,The traveler in UK enjoyed a delicious thing.,UK,burger,thing
The traveler in Germany enjoyed a delicious banana.,The traveler in Germany enjoyed a delicious piece.,Germany,banana,piece
The traveler in Germany enjoyed a delicious fish.,The traveler in Germany enjoyed a delicious part.,Germany,fish,part
The traveler in Ireland enjoyed a delicious chicken.,The traveler in Ireland enjoyed a delicious object.,Ireland,chicken,object
The traveler in India enjoyed a delicious cheese.,The traveler in India enjoyed a delicious matter.,India,cheese,matter
The traveler in Chile enjoyed a delicious orange.,The traveler in Chile enjoyed a delicious sample.,Chile,orange,sample
The traveler in India enjoyed a delicious banana.,The traveler in India enjoyed a delicious part.,India,banana,part
The traveler in Ireland enjoyed a delicious banana.,The traveler in Ireland enjoyed a delicious part.,Ireland,banana,part
The traveler in Russia enjoyed a delicious cake.,The traveler in Russia enjoyed a delicious object.,Russia,cake,object
The traveler in Greece enjoyed a delicious fish.,The traveler in Greece enjoyed a delicious thing.,Greece,fish,thing
The traveler in Poland enjoyed a delicious apple.,The traveler in Poland enjoyed a delicious thing.,Poland,apple,thing
The traveler in Brazil enjoyed a delicious pasta.,The traveler in Brazil enjoyed a delicious part.,Brazil,pasta,part
The traveler in Sweden enjoyed a delicious soup.,The traveler in Sweden enjoyed a delicious part.,Sweden,soup,part
The traveler in UK enjoyed a delicious cookie.,The traveler in UK enjoyed a delicious unit.,UK,cookie,unit
The traveler in Greece enjoyed a delicious burger.,The traveler in Greece enjoyed a delicious sample.,Greece,burger,sample
The traveler in Iceland enjoyed a delicious pizza.,The traveler in Iceland enjoyed a delicious thing.,Iceland,pizza,thing
The traveler in Vietnam enjoyed a delicious orange.,The traveler in Vietnam enjoyed a delicious element.,Vietnam,orange,element
